,0,1,2,3
0,12.0,12.0,0.004525,0.848554
1,11.0,11.0,0.00905,0.827702
2,10.0,10.0,0.013575,0.804186
3,9.0,9.0,0.0181,0.774429
4,8.0,8.0,0.022625,0.751027
5,7.0,7.0,0.02715,0.717884
6,6.0,6.0,0.031675,0.698554
7,12.0,11.0,0.034692,0.675419
8,12.0,10.0,0.037709,0.670129
9,5.0,5.0,0.042234,0.664498
10,12.0,9.0,0.045251,0.658105
11,11.0,12.0,0.0543,0.651408
12,12.0,8.0,0.057317,0.648668
13,10.0,12.0,0.066366,0.645091
14,8.0,12.0,0.075415,0.637671
15,4.0,4.0,0.07994,0.636948
16,12.0,7.0,0.082957,0.634094
17,11.0,10.0,0.085974,0.632458
18,9.0,12.0,0.095023,0.628425
19,11.0,9.0,0.09804,0.625913
20,12.0,6.0,0.101057,0.621119
21,10.0,11.0,0.110106,0.616971
22,9.0,11.0,0.119155,0.61621
23,12.0,5.0,0.122172,0.615411
24,11.0,8.0,0.125189,0.613889
25,7.0,12.0,0.134238,0.609209
26,3.0,3.0,0.138763,0.608409
27,12.0,4.0,0.14178,0.603349
28,10.0,9.0,0.144797,0.603044
29,11.0,7.0,0.147814,0.602055
30,10.0,8.0,0.150831,0.600228
31,6.0,12.0,0.15988,0.595358
32,12.0,3.0,0.162897,0.59433
33,8.0,11.0,0.171946,0.590906
34,11.0,6.0,0.174963,0.589346
35,9.0,10.0,0.184012,0.58691
36,12.0,2.0,0.187029,0.584589
37,5.0,12.0,0.196078,0.582915
38,10.0,7.0,0.199095,0.58261
39,8.0,10.0,0.208144,0.581773
40,7.0,11.0,0.217193,0.581697
41,12.0,1.0,0.22021,0.58086
42,9.0,8.0,0.223227,0.580594
43,4.0,12.0,0.232276,0.578349
44,11.0,5.0,0.235293,0.573288
45,9.0,7.0,0.23831,0.571271
46,11.0,4.0,0.241327,0.569825
47,3.0,12.0,0.250376,0.569482
48,2.0,2.0,0.254901,0.568455
49,12.0,0.0,0.257918,0.567504
50,6.0,11.0,0.266967,0.560122
51,7.0,10.0,0.276016,0.559247
52,5.0,11.0,0.285065,0.559056
53,10.0,6.0,0.288082,0.555784
54,11.0,3.0,0.291099,0.554833
55,8.0,9.0,0.300148,0.553653
56,2.0,12.0,0.309197,0.55312
57,11.0,2.0,0.312214,0.552283
58,1.0,12.0,0.321263,0.547793
59,9.0,6.0,0.32428,0.54589
60,10.0,5.0,0.327297,0.544064
61,0.0,12.0,0.336346,0.542656
62,4.0,11.0,0.345395,0.542352
63,11.0,1.0,0.348412,0.542161
64,8.0,7.0,0.351429,0.541134
65,10.0,4.0,0.354446,0.539422
66,1.0,1.0,0.358971,0.538204
67,6.0,10.0,0.36802,0.536035
68,8.0,6.0,0.371037,0.532648
69,10.0,3.0,0.374054,0.53204
70,11.0,0.0,0.377071,0.532002
71,7.0,9.0,0.38612,0.530936
72,3.0,11.0,0.395169,0.530327
73,9.0,5.0,0.398186,0.528539
74,5.0,10.0,0.407235,0.526065
75,2.0,11.0,0.416284,0.52089
76,10.0,2.0,0.419301,0.519102
77,4.0,10.0,0.42835,0.51876
78,6.0,9.0,0.437399,0.516096
79,7.0,8.0,0.446448,0.515411
80,9.0,4.0,0.449465,0.513318
81,1.0,11.0,0.458514,0.512557
82,0.0,11.0,0.467563,0.511568
83,7.0,6.0,0.47058,0.510845
84,8.0,5.0,0.473597,0.507192
85,0.0,0.0,0.478122,0.504604
86,10.0,0.0,0.481139,0.502588
87,10.0,1.0,0.484156,0.502511
88,5.0,9.0,0.493205,0.50156
89,3.0,10.0,0.502254,0.501484
90,9.0,3.0,0.505271,0.500685
91,6.0,8.0,0.51432,0.496613
92,7.0,5.0,0.517337,0.496575
93,2.0,10.0,0.526386,0.494787
94,9.0,2.0,0.529403,0.491629
95,8.0,4.0,0.53242,0.488699
96,6.0,7.0,0.541469,0.485693
97,6.0,5.0,0.544486,0.484361
98,5.0,8.0,0.553535,0.48223
99,9.0,1.0,0.556552,0.481088
100,9.0,0.0,0.559569,0.480746
101,3.0,9.0,0.568618,0.479262
102,4.0,9.0,0.577667,0.479033
103,0.0,10.0,0.586716,0.478082
104,1.0,10.0,0.595765,0.478044
105,7.0,4.0,0.598782,0.476065
106,6.0,4.0,0.601799,0.474429
107,8.0,3.0,0.604816,0.468189
108,2.0,9.0,0.613865,0.466743
109,4.0,8.0,0.622914,0.46465
110,5.0,7.0,0.631963,0.463432
111,8.0,2.0,0.63498,0.460616
112,8.0,1.0,0.637997,0.458105
113,5.0,4.0,0.641014,0.457154
114,5.0,6.0,0.650063,0.451788
115,7.0,3.0,0.65308,0.449658
116,1.0,9.0,0.662129,0.447527
117,0.0,9.0,0.671178,0.446081
118,6.0,3.0,0.674195,0.445586
119,4.0,7.0,0.683244,0.443303
120,3.0,8.0,0.692293,0.441438
121,8.0,0.0,0.69531,0.438623
122,7.0,2.0,0.698327,0.437976
123,2.0,8.0,0.707376,0.435693
124,7.0,1.0,0.710393,0.434665
125,5.0,3.0,0.71341,0.430556
126,4.0,6.0,0.722459,0.430251
127,6.0,2.0,0.725476,0.42812
128,4.0,3.0,0.728493,0.426522
129,3.0,7.0,0.737542,0.425457
130,7.0,0.0,0.740559,0.425381
131,4.0,5.0,0.749608,0.424391
132,1.0,8.0,0.758657,0.421347
133,0.0,8.0,0.767706,0.420852
134,4.0,2.0,0.770723,0.416286
135,5.0,2.0,0.77374,0.415944
136,3.0,6.0,0.782789,0.414992
137,2.0,7.0,0.791838,0.410084
138,3.0,4.0,0.800887,0.405213
139,6.0,0.0,0.803904,0.404947
140,5.0,1.0,0.806921,0.404566
141,3.0,5.0,0.81597,0.404528
142,3.0,2.0,0.818987,0.401826
143,4.0,1.0,0.822004,0.401142
144,6.0,1.0,0.825021,0.400152
145,1.0,7.0,0.83407,0.398973
146,2.0,6.0,0.843119,0.397831
147,2.0,5.0,0.852168,0.384817
148,3.0,1.0,0.855185,0.384627
149,5.0,0.0,0.858202,0.383714
150,0.0,7.0,0.867251,0.381925
151,2.0,4.0,0.8763,0.378082
152,2.0,1.0,0.879317,0.375951
153,0.0,6.0,0.888366,0.374924
154,4.0,0.0,0.891383,0.374886
155,1.0,6.0,0.900432,0.369178
156,2.0,3.0,0.909481,0.367656
157,1.0,4.0,0.91853,0.367504
158,3.0,0.0,0.921547,0.3664
159,1.0,5.0,0.930596,0.358524
160,1.0,3.0,0.939645,0.354871
161,2.0,0.0,0.942662,0.352473
162,0.0,4.0,0.951711,0.344102
163,1.0,0.0,0.954728,0.344026
164,0.0,5.0,0.963777,0.339422
165,1.0,2.0,0.972826,0.329033
166,0.0,3.0,0.981875,0.328425
167,0.0,2.0,0.990924,0.3129
168,0.0,1.0,0.999973,0.308828
